,HomeTeam,AwayTeam,HTGD,ATGD,HTP,ATP,HM1_D,HM1_L,HM1_W,HM2_D,HM2_L,HM2_W,HM3_D,HM3_L,HM3_W,AM1_D,AM1_L,AM1_W,AM2_D,AM2_L,AM2_W,AM3_D,AM3_L,AM3_W,DiffFormPts,DiffLP,FTR
5409,QPR,Aston Villa,-1.333333333,-0.8888888890000001,0.444444444,1.111111111,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0.0,3,H
5410,Arsenal,Burnley,0.4,-1.1,1.4,0.4,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0.3,-14,H
5411,Chelsea,QPR,1.5,-1.0,2.3,0.7,1,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0.4,-15,H
5412,Everton,Swansea,0.2,0.3,1.2,1.4,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0,1,0,0,0.2,-7,D
5413,Hull,Southampton,0.0,1.5,1.1,1.9,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,1,0,-0.1,8,A
5414,Leicester,West Brom,-0.4,-0.1,0.9,1.0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,-0.1,1,A
5415,Newcastle,Liverpool,-0.5,0.1,1.0,1.4,0,0,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1,0.0,8,H
5416,Stoke,West Ham,-0.2,0.5,1.1,1.6,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,-0.6,-4,D
5417,Aston Villa,Tottenham,-1.0,-0.2,1.0,1.1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,-0.3,9,A
5418,Man City,Man United,0.9,0.3,1.7,1.3,0,1,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,1,0.1,-6,H
5419,Crystal Palace,Sunderland,-0.3,-0.9,0.9,0.8,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,-0.2,-3,A
5420,Burnley,Hull,-1.2727272729999999,-0.090909091,0.363636364,1.0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,-0.181818182,2,H
5421,Liverpool,Chelsea,0.0,1.454545455,1.2727272729999999,2.363636364,0,1,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,-0.272727273,-1,A
5422,Man United,Crystal Palace,0.181818182,-0.454545455,1.181818182,0.818181818,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0.090909091,-4,H
5423,QPR,Man City,-1.0,0.9090909090000001,0.636363636,1.8181818180000002,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,-0.272727273,17,D
5424,Southampton,Leicester,1.454545455,-0.454545455,2.0,0.818181818,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0.818181818,-10,H
5425,West Ham,Aston Villa,0.454545455,-1.0,1.545454545,0.9090909090000001,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0.636363636,-2,D
5426,Sunderland,Everton,-0.636363636,0.181818182,1.0,1.181818182,0,0,1,0,1,0,0,1,0,1,0,0,0,0,1,0,0,1,-0.363636364,9,D
5427,Swansea,Arsenal,0.272727273,0.636363636,1.363636364,1.545454545,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,1,0,0,-0.272727273,8,H
5428,Tottenham,Stoke,-0.090909091,-0.181818182,1.2727272729999999,1.0909090909999999,0,0,1,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,-0.090909091,-3,A
5429,West Brom,Newcastle,0.0,-0.363636364,1.181818182,1.181818182,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,-0.363636364,7,A
5430,Arsenal,Man United,0.5,0.25,1.4166666669999999,1.333333333,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,1,0,0,0.166666667,-3,A
5431,Chelsea,West Brom,1.4166666669999999,-0.166666667,2.416666667,1.083333333,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,1,0,0,0.25,-14,H
5432,Everton,West Ham,0.166666667,0.41666666700000005,1.166666667,1.5,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0.0,-8,H
5433,Leicester,Sunderland,-0.583333333,-0.583333333,0.75,1.0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,-0.333333333,4,D
5434,Man City,Swansea,0.833333333,0.333333333,1.75,1.5,1,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,1,-0.25,-11,H
5435,Newcastle,QPR,-0.166666667,-0.916666667,1.333333333,0.666666667,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0.41666666700000005,-8,H
5436,Stoke,Burnley,-0.083333333,-1.083333333,1.25,0.583333333,0,0,1,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0.083333333,-9,A
5437,Crystal Palace,Liverpool,-0.5,-0.083333333,0.75,1.166666667,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0.0,9,H
5438,Hull,Tottenham,-0.166666667,-0.166666667,0.916666667,1.166666667,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,-0.166666667,10,A
5439,Aston Villa,Southampton,-0.916666667,1.5,0.916666667,2.083333333,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,-0.666666667,7,D
5440,Burnley,Aston Villa,-0.923076923,-0.846153846,0.7692307690000001,0.923076923,0,0,1,0,0,1,0,1,0,1,0,0,1,0,0,0,1,0,0.307692308,3,D
5441,Liverpool,Stoke,-0.23076923100000002,-0.153846154,1.076923077,1.153846154,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,1,0,0,-0.307692308,-7,H
5442,Man United,Hull,0.307692308,-0.23076923100000002,1.4615384619999998,0.846153846,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0.46153846200000004,-9,H
5443,QPR,Leicester,-0.923076923,-0.538461538,0.615384615,0.7692307690000001,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0.0,0,H
5444,Sunderland,Chelsea,-0.538461538,1.4615384619999998,1.0,2.461538462,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,-0.307692308,11,D
5445,Swansea,Crystal Palace,0.23076923100000002,-0.307692308,1.384615385,0.923076923,0,1,0,0,0,1,1,0,0,0,0,1,0,1,0,0,1,0,0.076923077,1,D
5446,West Brom,Arsenal,-0.307692308,0.384615385,1.0,1.307692308,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0.0,13,A
5447,West Ham,Newcastle,0.307692308,-0.076923077,1.384615385,1.4615384619999998,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,-0.538461538,3,H
5448,Southampton,Man City,1.384615385,0.846153846,2.0,1.846153846,1,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,1,0.0,7,A
5449,Tottenham,Everton,-0.076923077,0.23076923100000002,1.307692308,1.307692308,0,0,1,0,1,0,0,0,1,0,0,1,1,0,0,1,0,0,0.076923077,1,H
5450,Burnley,Newcastle,-0.857142857,-0.14285714300000002,0.7857142859999999,1.357142857,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0.071428571,8,D
5451,Crystal Palace,Aston Villa,-0.28571428600000004,-0.7857142859999999,0.9285714290000001,0.9285714290000001,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0,0.071428571,-4,A
5452,Leicester,Liverpool,-0.571428571,-0.14285714300000002,0.7142857140000001,1.214285714,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,-0.14285714300000002,16,A
5453,Man United,Stoke,0.5,-0.214285714,1.571428571,1.071428571,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0.428571429,-2,H
5454,Swansea,QPR,0.214285714,-0.7857142859999999,1.357142857,0.7857142859999999,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0,1,0,0,0.0,-6,H
5455,West Brom,West Ham,-0.35714285700000004,0.35714285700000004,0.9285714290000001,1.5,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,1,0,0,-0.28571428600000004,4,A
5456,Arsenal,Southampton,0.428571429,1.071428571,1.428571429,1.857142857,0,0,1,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,-0.071428571,-4,H
5457,Chelsea,Tottenham,1.357142857,0.0,2.357142857,1.428571429,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0.071428571,-3,H
5458,Everton,Hull,0.14285714300000002,-0.428571429,1.214285714,0.7857142859999999,0,1,0,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0.28571428600000004,-11,D
5459,Sunderland,Man City,-0.5,1.0,1.0,1.928571429,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,-0.28571428600000004,13,A
5460,Hull,West Brom,-0.4,-0.4,0.8,0.8666666670000001,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0.066666667,-1,D
5461,Liverpool,Sunderland,0.0,-0.666666667,1.333333333,0.933333333,0,0,1,0,0,1,0,1,0,0,1,0,1,0,0,1,0,0,0.26666666699999997,-12,D
5462,Man City,Everton,1.133333333,0.133333333,2.0,1.2,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0.333333333,-4,H
5463,Newcastle,Chelsea,-0.133333333,1.466666667,1.333333333,2.4,1,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,1,-0.2,7,H
5464,QPR,Burnley,-0.8666666670000001,-0.8,0.7333333329999999,0.8,0,1,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,-0.133333333,0,H
5465,Stoke,Arsenal,-0.26666666699999997,0.46666666700000003,1.0,1.533333333,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,-0.4,5,H
5466,Tottenham,Crystal Palace,-0.2,-0.333333333,1.333333333,0.8666666670000001,0,1,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,1,0.133333333,-5,D
5467,Aston Villa,Leicester,-0.666666667,-0.666666667,1.066666667,0.666666667,0,0,1,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0.26666666699999997,-3,H
5468,West Ham,Swansea,0.4,0.333333333,1.6,1.466666667,0,0,1,0,0,1,0,1,0,0,0,1,1,0,0,0,1,0,0.133333333,1,H
5469,Southampton,Man United,0.933333333,0.533333333,1.733333333,1.6666666669999999,0,1,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,-0.533333333,1,A
5470,Arsenal,Newcastle,0.375,-0.0625,1.4375,1.4375,0,1,0,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0.125,-6,H
